0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,11,4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,11,4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,23,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=22 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=22 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=22 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=883 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=23 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=33 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=884 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=24 | ip=
