0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,11,4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=912 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=22 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=912 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=23 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=33 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=97 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=98 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=883 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=884 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=885 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=886 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=24 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=93 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=94 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=96 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S=(0,0) | I=(22,0) | sp=35 | ip=1
