0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 6,35,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 7,45,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=882 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=1 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=885 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=96 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=35 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=45 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=55 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=99930 | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S=(0,0) | I=(12,0) | sp=945 | ip=1
