0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4,11,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,42,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,54,7 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,54,8 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,7 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,8 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 4,24,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12 | S= | I=(2,0) | sp= | ip=1
