0 | 4 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=991 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=43 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=99910 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=928 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=929 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=914 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=45 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=99930 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=995 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=9910 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=926 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=933 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=944 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=951 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=957 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=886 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=94 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=910 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=996 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=997 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=919 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=930 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=931 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=887 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=91 | ip= | E=(0,1,0,0) | ep=5
0 | 8 | S=(0,0) | I= | sp=95 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=998 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=9911 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=923 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=932 | ip= | E=(0,1,0,0) | ep=2
0 | 8 | S=(0,0) | I= | sp=950 | ip= | E=(0,1,0,0) | ep=2
0 | 12 | S=(0,0) | I= | sp=8811 | ip= | E=(0,1,0,0) | ep=2
