0 | 4 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=22 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=22 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=32 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=33 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=42 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=991 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=991 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=92 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=92 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=92 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=92 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=916 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=916 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=916 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=916 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=917 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=917 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=917 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=917 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=331 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=99910 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=9913 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=2
