0 | 4 | S=(0,0) | I= | sp=1 | ip=
0 | 4 | S=(0,0) | I= | sp=882 | ip=
0 | 4 | S=(0,0) | I= | sp=883 | ip=
0 | 4 | S=(0,0) | I= | sp=22 | ip=
0 | 4 | S=(0,0) | I= | sp=32 | ip=
0 | 4 | S=(0,0) | I= | sp=23 | ip=
0 | 4 | S=(0,0) | I= | sp=33 | ip=
0 | 4 | S=(0,0) | I= | sp=42 | ip=
0 | 4 | S=(0,0) | I= | sp=991 | ip=
0 | 4 | S=(0,0) | I= | sp=9920 | ip=
0 | 4 | S=(0,0) | I= | sp=92 | ip=
0 | 4 | S=(0,0) | I= | sp=93 | ip=
0 | 4 | S=(0,0) | I= | sp=97 | ip=
0 | 4 | S=(0,0) | I= | sp=98 | ip=
0 | 4 | S=(0,0) | I= | sp=912 | ip=
0 | 4 | S=(0,0) | I= | sp=915 | ip=
0 | 4 | S=(0,0) | I= | sp=916 | ip=
0 | 4 | S=(0,0) | I= | sp=917 | ip=
0 | 4 | S=(0,0) | I= | sp=331 | ip=
0 | 4 | S=(0,0) | I= | sp=43 | ip=
0 | 4 | S=(0,0) | I= | sp=53 | ip=
0 | 4 | S=(0,0) | I= | sp=99910 | ip=
0 | 4 | S=(0,0) | I= | sp=9913 | ip=
0 | 4 | S=(0,0) | I= | sp=924 | ip=
0 | 4 | S=(0,0) | I= | sp=925 | ip=
0 | 4 | S=(0,0) | I= | sp=927 | ip=
0 | 4 | S=(0,0) | I= | sp=928 | ip=
0 | 4 | S=(0,0) | I= | sp=929 | ip=
0 | 4 | S=(0,0) | I= | sp=934 | ip=
0 | 4 | S=(0,0) | I= | sp=936 | ip=
0 | 4 | S=(0,0) | I= | sp=937 | ip=
0 | 4 | S=(0,0) | I= | sp=938 | ip=
0 | 4 | S=(0,0) | I= | sp=940 | ip=
0 | 4 | S=(0,0) | I= | sp=941 | ip=
0 | 4 | S=(0,0) | I= | sp=942 | ip=
0 | 4 | S=(0,0) | I= | sp=943 | ip=
0 | 4 | S=(0,0) | I= | sp=956 | ip=
0 | 6 | S=(0,0) | I= | sp=1 | ip=
0 | 6 | S=(0,0) | I= | sp=882 | ip=
0 | 6 | S=(0,0) | I= | sp=883 | ip=
0 | 6 | S=(0,0) | I= | sp=884 | ip=
0 | 6 | S=(0,0) | I= | sp=885 | ip=
0 | 6 | S=(0,0) | I= | sp=22 | ip=
0 | 6 | S=(0,0) | I= | sp=23 | ip=
0 | 6 | S=(0,0) | I= | sp=33 | ip=
0 | 6 | S=(0,0) | I= | sp=24 | ip=
0 | 6 | S=(0,0) | I= | sp=993 | ip=
0 | 6 | S=(0,0) | I= | sp=93 | ip=
0 | 6 | S=(0,0) | I= | sp=96 | ip=
0 | 6 | S=(0,0) | I= | sp=97 | ip=
0 | 6 | S=(0,0) | I= | sp=98 | ip=
0 | 6 | S=(0,0) | I= | sp=99 | ip=
0 | 6 | S=(0,0) | I= | sp=911 | ip=
0 | 6 | S=(0,0) | I= | sp=912 | ip=
0 | 6 | S=(0,0) | I= | sp=913 | ip=
0 | 6 | S=(0,0) | I= | sp=914 | ip=
0 | 6 | S=(0,0) | I= | sp=915 | ip=
0 | 6 | S=(0,0) | I= | sp=331 | ip=
0 | 6 | S=(0,0) | I= | sp=43 | ip=
0 | 6 | S=(0,0) | I= | sp=34 | ip=
0 | 6 | S=(0,0) | I= | sp=44 | ip=
0 | 6 | S=(0,0) | I= | sp=53 | ip=
0 | 6 | S=(0,0) | I= | sp=35 | ip=
0 | 6 | S=(0,0) | I= | sp=54 | ip=
0 | 6 | S=(0,0) | I= | sp=45 | ip=
0 | 6 | S=(0,0) | I= | sp=55 | ip=
0 | 6 | S=(0,0) | I= | sp=99910 | ip=
0 | 6 | S=(0,0) | I= | sp=99920 | ip=
0 | 6 | S=(0,0) | I= | sp=99930 | ip=
0 | 6 | S=(0,0) | I= | sp=994 | ip=
0 | 6 | S=(0,0) | I= | sp=995 | ip=
0 | 6 | S=(0,0) | I= | sp=9910 | ip=
0 | 6 | S=(0,0) | I= | sp=9912 | ip=
0 | 6 | S=(0,0) | I= | sp=9913 | ip=
0 | 6 | S=(0,0) | I= | sp=9914 | ip=
0 | 6 | S=(0,0) | I= | sp=918 | ip=
0 | 6 | S=(0,0) | I= | sp=920 | ip=
0 | 6 | S=(0,0) | I= | sp=921 | ip=
0 | 6 | S=(0,0) | I= | sp=922 | ip=
0 | 6 | S=(0,0) | I= | sp=924 | ip=
0 | 6 | S=(0,0) | I= | sp=925 | ip=
0 | 6 | S=(0,0) | I= | sp=926 | ip=
0 | 6 | S=(0,0) | I= | sp=927 | ip=
0 | 6 | S=(0,0) | I= | sp=928 | ip=
0 | 6 | S=(0,0) | I= | sp=929 | ip=
0 | 6 | S=(0,0) | I= | sp=933 | ip=
0 | 6 | S=(0,0) | I= | sp=934 | ip=
0 | 6 | S=(0,0) | I= | sp=935 | ip=
0 | 6 | S=(0,0) | I= | sp=936 | ip=
0 | 6 | S=(0,0) | I= | sp=937 | ip=
0 | 6 | S=(0,0) | I= | sp=938 | ip=
0 | 6 | S=(0,0) | I= | sp=939 | ip=
0 | 6 | S=(0,0) | I= | sp=943 | ip=
0 | 6 | S=(0,0) | I= | sp=944 | ip=
0 | 6 | S=(0,0) | I= | sp=945 | ip=
0 | 6 | S=(0,0) | I= | sp=9916 | ip=
0 | 6 | S=(0,0) | I= | sp=9917 | ip=
0 | 6 | S=(0,0) | I= | sp=947 | ip=
0 | 6 | S=(0,0) | I= | sp=951 | ip=
0 | 6 | S=(0,0) | I= | sp=952 | ip=
0 | 6 | S=(0,0) | I= | sp=955 | ip=
0 | 6 | S=(0,0) | I= | sp=956 | ip=
0 | 6 | S=(0,0) | I= | sp=957 | ip=
0 | 7 | S=(0,0) | I= | sp=1 | ip=
0 | 7 | S=(0,0) | I= | sp=882 | ip=
0 | 7 | S=(0,0) | I= | sp=883 | ip=
0 | 7 | S=(0,0) | I= | sp=884 | ip=
0 | 7 | S=(0,0) | I= | sp=885 | ip=
0 | 7 | S=(0,0) | I= | sp=886 | ip=
0 | 7 | S=(0,0) | I= | sp=23 | ip=
0 | 7 | S=(0,0) | I= | sp=33 | ip=
0 | 7 | S=(0,0) | I= | sp=24 | ip=
0 | 7 | S=(0,0) | I= | sp=993 | ip=
0 | 7 | S=(0,0) | I= | sp=93 | ip=
0 | 7 | S=(0,0) | I= | sp=94 | ip=
0 | 7 | S=(0,0) | I= | sp=96 | ip=
0 | 7 | S=(0,0) | I= | sp=97 | ip=
0 | 7 | S=(0,0) | I= | sp=98 | ip=
0 | 7 | S=(0,0) | I= | sp=99 | ip=
0 | 7 | S=(0,0) | I= | sp=910 | ip=
0 | 7 | S=(0,0) | I= | sp=911 | ip=
0 | 7 | S=(0,0) | I= | sp=34 | ip=
0 | 7 | S=(0,0) | I= | sp=44 | ip=
0 | 7 | S=(0,0) | I= | sp=35 | ip=
0 | 7 | S=(0,0) | I= | sp=45 | ip=
0 | 7 | S=(0,0) | I= | sp=54 | ip=
0 | 7 | S=(0,0) | I= | sp=55 | ip=
0 | 7 | S=(0,0) | I= | sp=99920 | ip=
0 | 7 | S=(0,0) | I= | sp=99930 | ip=
0 | 7 | S=(0,0) | I= | sp=995 | ip=
0 | 7 | S=(0,0) | I= | sp=996 | ip=
0 | 7 | S=(0,0) | I= | sp=997 | ip=
0 | 7 | S=(0,0) | I= | sp=9912 | ip=
0 | 7 | S=(0,0) | I= | sp=9913 | ip=
0 | 7 | S=(0,0) | I= | sp=9914 | ip=
0 | 7 | S=(0,0) | I= | sp=918 | ip=
0 | 7 | S=(0,0) | I= | sp=919 | ip=
0 | 7 | S=(0,0) | I= | sp=920 | ip=
0 | 7 | S=(0,0) | I= | sp=921 | ip=
0 | 7 | S=(0,0) | I= | sp=922 | ip=
0 | 7 | S=(0,0) | I= | sp=924 | ip=
0 | 7 | S=(0,0) | I= | sp=925 | ip=
0 | 7 | S=(0,0) | I= | sp=926 | ip=
0 | 7 | S=(0,0) | I= | sp=927 | ip=
0 | 7 | S=(0,0) | I= | sp=928 | ip=
0 | 7 | S=(0,0) | I= | sp=929 | ip=
0 | 7 | S=(0,0) | I= | sp=930 | ip=
0 | 7 | S=(0,0) | I= | sp=931 | ip=
0 | 7 | S=(0,0) | I= | sp=933 | ip=
0 | 7 | S=(0,0) | I= | sp=944 | ip=
0 | 7 | S=(0,0) | I= | sp=945 | ip=
0 | 7 | S=(0,0) | I= | sp=9915 | ip=
0 | 7 | S=(0,0) | I= | sp=9916 | ip=
0 | 7 | S=(0,0) | I= | sp=946 | ip=
0 | 7 | S=(0,0) | I= | sp=947 | ip=
0 | 7 | S=(0,0) | I= | sp=951 | ip=
0 | 7 | S=(0,0) | I= | sp=952 | ip=
0 | 7 | S=(0,0) | I= | sp=954 | ip=
0 | 8 | S=(0,0) | I= | sp=1 | ip=
0 | 8 | S=(0,0) | I= | sp=882 | ip=
0 | 8 | S=(0,0) | I= | sp=883 | ip=
0 | 8 | S=(0,0) | I= | sp=884 | ip=
0 | 8 | S=(0,0) | I= | sp=885 | ip=
0 | 8 | S=(0,0) | I= | sp=886 | ip=
0 | 8 | S=(0,0) | I= | sp=887 | ip=
0 | 8 | S=(0,0) | I= | sp=23 | ip=
0 | 8 | S=(0,0) | I= | sp=33 | ip=
0 | 8 | S=(0,0) | I= | sp=24 | ip=
0 | 8 | S=(0,0) | I= | sp=993 | ip=
0 | 8 | S=(0,0) | I= | sp=91 | ip=
0 | 8 | S=(0,0) | I= | sp=93 | ip=
0 | 8 | S=(0,0) | I= | sp=94 | ip=
0 | 8 | S=(0,0) | I= | sp=95 | ip=
0 | 8 | S=(0,0) | I= | sp=96 | ip=
0 | 8 | S=(0,0) | I= | sp=97 | ip=
0 | 8 | S=(0,0) | I= | sp=98 | ip=
0 | 8 | S=(0,0) | I= | sp=99 | ip=
0 | 8 | S=(0,0) | I= | sp=910 | ip=
0 | 8 | S=(0,0) | I= | sp=911 | ip=
0 | 8 | S=(0,0) | I= | sp=34 | ip=
0 | 8 | S=(0,0) | I= | sp=44 | ip=
0 | 8 | S=(0,0) | I= | sp=35 | ip=
0 | 8 | S=(0,0) | I= | sp=45 | ip=
0 | 8 | S=(0,0) | I= | sp=54 | ip=
0 | 8 | S=(0,0) | I= | sp=55 | ip=
0 | 8 | S=(0,0) | I= | sp=99920 | ip=
0 | 8 | S=(0,0) | I= | sp=99930 | ip=
0 | 8 | S=(0,0) | I= | sp=995 | ip=
0 | 8 | S=(0,0) | I= | sp=996 | ip=
0 | 8 | S=(0,0) | I= | sp=997 | ip=
0 | 8 | S=(0,0) | I= | sp=998 | ip=
0 | 8 | S=(0,0) | I= | sp=9911 | ip=
0 | 8 | S=(0,0) | I= | sp=9912 | ip=
0 | 8 | S=(0,0) | I= | sp=9913 | ip=
0 | 8 | S=(0,0) | I= | sp=9914 | ip=
0 | 8 | S=(0,0) | I= | sp=918 | ip=
0 | 8 | S=(0,0) | I= | sp=919 | ip=
0 | 8 | S=(0,0) | I= | sp=920 | ip=
0 | 8 | S=(0,0) | I= | sp=921 | ip=
0 | 8 | S=(0,0) | I= | sp=922 | ip=
0 | 8 | S=(0,0) | I= | sp=923 | ip=
0 | 8 | S=(0,0) | I= | sp=924 | ip=
0 | 8 | S=(0,0) | I= | sp=925 | ip=
0 | 8 | S=(0,0) | I= | sp=926 | ip=
0 | 8 | S=(0,0) | I= | sp=927 | ip=
0 | 8 | S=(0,0) | I= | sp=928 | ip=
0 | 8 | S=(0,0) | I= | sp=929 | ip=
0 | 8 | S=(0,0) | I= | sp=930 | ip=
0 | 8 | S=(0,0) | I= | sp=931 | ip=
0 | 8 | S=(0,0) | I= | sp=932 | ip=
0 | 8 | S=(0,0) | I= | sp=933 | ip=
0 | 8 | S=(0,0) | I= | sp=944 | ip=
0 | 8 | S=(0,0) | I= | sp=945 | ip=
0 | 8 | S=(0,0) | I= | sp=9915 | ip=
0 | 8 | S=(0,0) | I= | sp=9916 | ip=
0 | 8 | S=(0,0) | I= | sp=946 | ip=
0 | 8 | S=(0,0) | I= | sp=947 | ip=
0 | 8 | S=(0,0) | I= | sp=950 | ip=
0 | 8 | S=(0,0) | I= | sp=951 | ip=
0 | 8 | S=(0,0) | I= | sp=952 | ip=
0 | 8 | S=(0,0) | I= | sp=953 | ip=
0 | 8 | S=(0,0) | I= | sp=954 | ip=
0 | 12 | S=(0,0) | I= | sp=1 | ip=
0 | 12 | S=(0,0) | I= | sp=882 | ip=
0 | 12 | S=(0,0) | I= | sp=883 | ip=
0 | 12 | S=(0,0) | I= | sp=884 | ip=
0 | 12 | S=(0,0) | I= | sp=885 | ip=
0 | 12 | S=(0,0) | I= | sp=886 | ip=
0 | 12 | S=(0,0) | I= | sp=887 | ip=
0 | 12 | S=(0,0) | I= | sp=8881 | ip=
