0,1,0 | 4,11,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=32 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=42 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=92 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=917 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 4,11,4 | S=(0,0) | I= | sp=940 | ip=
0,1,0 | 4,22,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,22,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,22,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,22,6 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,23,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,23,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,23,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,23,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,23,7 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,23,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,23,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,23,8 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,23,8 | S=(0,0) | I= | sp=917 | ip=
0,1,0 | 4,24,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,24,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,24,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,24,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,24,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,24,8 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,24,12 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 4,24,12 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 4,24,12 | S=(0,0) | I= | sp=916 | ip=
0,1,0 | 4,24,12 | S=(0,0) | I= | sp=917 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=915 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=331 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=43 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=53 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=99910 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=936 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=937 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=938 | ip=
0,1,0 | 6,22,4 | S=(0,0) | I= | sp=943 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=93 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=915 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=331 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=43 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=53 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=99910 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=9913 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=925 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=929 | ip=
0,1,0 | 6,22,6 | S=(0,0) | I= | sp=934 | ip=
