0,1,0 | 4,11,4 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=3
0,1,0 | 4,11,4 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=5
0,1,0 | 4,22,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 4,23,8 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=5
0,1,0 | 4,24,12 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=5
0,1,0 | 4,24,12 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=2
0,1,0 | 6,22,4 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=5
0,1,0 | 6,22,6 | S= | I= | sp= | ip= | E=(1,0,0,0) | ep=5
0,1,0 | 6,22,6 | S= | I= | sp= | ip= | E=(1,0,1,0) | ep=2
0,1,0 | 6,22,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=5
0,1,0 | 6,33,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 6,33,8 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 7,33,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 7,33,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 7,33,8 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 8,32,4 | S= | I= | sp= | ip= | E=(1,0,3,0) | ep=5
0,1,0 | 8,33,6 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 8,33,7 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 8,33,8 | S= | I= | sp= | ip= | E=(1,0,2,0) | ep=2
0,1,0 | 12,42,4 | S= | I= | sp= | ip= | E=(1,0,3,0) | ep=2
0,1,0 | 12,42,4 | S= | I= | sp= | ip= | E=(1,0,4,0) | ep=5
