0,1,0 | 4,11,4 | S= | I= | sp= | ip=
0,1,0 | 4,22,4 | S= | I= | sp= | ip=
0,1,0 | 4,22,6 | S= | I= | sp= | ip=
0,1,0 | 4,32,4 | S= | I= | sp= | ip=
0,1,0 | 4,23,4 | S= | I= | sp= | ip=
0,1,0 | 4,23,6 | S= | I= | sp= | ip=
0,1,0 | 4,23,7 | S= | I= | sp= | ip=
0,1,0 | 4,23,8 | S= | I= | sp= | ip=
0,1,0 | 4,33,6 | S= | I= | sp= | ip=
0,1,0 | 4,33,7 | S= | I= | sp= | ip=
0,1,0 | 4,33,8 | S= | I= | sp= | ip=
0,1,0 | 4,24,6 | S= | I= | sp= | ip=
0,1,0 | 4,24,7 | S= | I= | sp= | ip=
0,1,0 | 4,24,8 | S= | I= | sp= | ip=
0,1,0 | 4,24,12 | S= | I= | sp= | ip=
0,1,0 | 4,331,6 | S= | I= | sp= | ip=
0,1,0 | 4,34,6 | S= | I= | sp= | ip=
0,1,0 | 4,34,7 | S= | I= | sp= | ip=
0,1,0 | 4,34,8 | S= | I= | sp= | ip=
0,1,0 | 4,35,7 | S= | I= | sp= | ip=
0,1,0 | 4,35,8 | S= | I= | sp= | ip=
0,1,0 | 4,35,12 | S= | I= | sp= | ip=
0,1,0 | 6,22,4 | S= | I= | sp= | ip=
0,1,0 | 6,22,6 | S= | I= | sp= | ip=
0,1,0 | 6,32,4 | S= | I= | sp= | ip=
0,1,0 | 6,33,4 | S= | I= | sp= | ip=
0,1,0 | 6,33,6 | S= | I= | sp= | ip=
0,1,0 | 6,33,7 | S= | I= | sp= | ip=
0,1,0 | 6,33,8 | S= | I= | sp= | ip=
0,1,0 | 6,42,4 | S= | I= | sp= | ip=
0,1,0 | 6,331,4 | S= | I= | sp= | ip=
0,1,0 | 6,331,6 | S= | I= | sp= | ip=
0,1,0 | 6,43,4 | S= | I= | sp= | ip=
0,1,0 | 6,43,6 | S= | I= | sp= | ip=
0,1,0 | 6,34,6 | S= | I= | sp= | ip=
0,1,0 | 6,34,7 | S= | I= | sp= | ip=
0,1,0 | 6,34,8 | S= | I= | sp= | ip=
0,1,0 | 6,44,6 | S= | I= | sp= | ip=
0,1,0 | 6,44,7 | S= | I= | sp= | ip=
0,1,0 | 6,44,8 | S= | I= | sp= | ip=
0,1,0 | 6,53,6 | S= | I= | sp= | ip=
0,1,0 | 6,35,6 | S= | I= | sp= | ip=
0,1,0 | 6,35,7 | S= | I= | sp= | ip=
0,1,0 | 6,35,8 | S= | I= | sp= | ip=
0,1,0 | 6,35,12 | S= | I= | sp= | ip=
0,1,0 | 6,45,6 | S= | I= | sp= | ip=
0,1,0 | 6,45,7 | S= | I= | sp= | ip=
0,1,0 | 6,45,8 | S= | I= | sp= | ip=
