0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=22 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=32 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=42 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=92 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=916 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=917 | ip=
0,1,0,1,0 | 4,11,4,11,4 | S=(0,0) | I= | sp=934 | ip=
0,1,0,1,0 | 4,11,4,22,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,22,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,23,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,23,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,23,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,23,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,23,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,23,8 | S=(0,0) | I= | sp=916 | ip=
0,1,0,1,0 | 4,11,4,24,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,24,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,24,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,24,12 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,11,4,24,12 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,11,4,24,12 | S=(0,0) | I= | sp=916 | ip=
0,1,0,1,0 | 4,11,4,24,12 | S=(0,0) | I= | sp=917 | ip=
0,1,0,1,0 | 4,22,6,22,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,22,6,22,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,23,8,32,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,23,8,33,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,23,8,33,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,23,8,33,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,42,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,42,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,42,4 | S=(0,0) | I= | sp=916 | ip=
0,1,0,1,0 | 4,24,12,53,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,53,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,53,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,54,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,54,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,54,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,54,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,54,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,54,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,55,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,55,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0,1,0 | 4,24,12,55,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0,1,0 | 4,24,12,55,8 | S=(0,0) | I= | sp=1 | ip=
