0,1,0,1,0 | 4,22,6,22,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0 | 4,23,8,32,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0 | 4,24,12,42,4 | S= | I=(2,0) | sp= | ip=883
0,1,0,1,0 | 4,24,12,54,6 | S= | I=(2,0) | sp= | ip=882
0,1,0,1,0 | 4,24,12,55,7 | S= | I=(2,0) | sp= | ip=882
0,1,0,1,0 | 6,45,12,42,4 | S= | I=(2,0) | sp= | ip=882
0,1,0,1,0 | 6,45,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0 | 6,45,12,55,7 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0 | 7,55,12,42,4 | S= | I=(2,0) | sp= | ip=882
0,1,0,1,0 | 7,55,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0 | 7,55,12,55,7 | S= | I=(2,0) | sp= | ip=1
