0,1,0,1,0 | 4,22,6,32,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,22,6,34,6 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,22,6,35,7 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,23,6,22,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,23,7,32,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,23,8,42,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,23,8,44,6 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,23,8,45,7 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,33,8,33,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,24,8,32,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,35,12,53,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 4,35,12,55,6 | S= | I= | sp= | ip=
0,1,0,1,0 | 6,43,6,22,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 6,44,8,32,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 6,55,12,53,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 6,55,12,55,6 | S= | I= | sp= | ip=
0,1,0,1,0 | 7,53,6,22,4 | S= | I= | sp= | ip=
0,1,0,1,0 | 7,54,8,32,4 | S= | I= | sp= | ip=
