0,1,0,1,0,1,0 | 4,24,12,42,4,11,4 | S= | I=(2,0) | sp= | ip=882
0,1,0,1,0,1,0 | 4,24,12,54,8,33,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 6,33,8,33,8,32,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 6,35,12,55,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 6,35,12,55,12,55,7 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 6,45,12,42,4,11,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 7,45,12,55,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 7,45,12,55,12,55,7 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 7,55,12,42,4,11,4 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 8,55,12,55,12,54,6 | S= | I=(2,0) | sp= | ip=1
0,1,0,1,0,1,0 | 8,55,12,55,12,55,7 | S= | I=(2,0) | sp= | ip=1
